wrong_zipcode,Issue Repo,Latitude,Longitude,correct_zipcode
78739,TRFC HAZD/ DEBRIS,30.158302,-97.85995,78748
78712,Crash Urgent,30.260567,-97.734617,78702
78728,Traffic Hazard,30.407189,-97.719597,78758
78748,Crash Service,30.174012,-97.827078,78748
78756,Crash Service,30.360106,-97.729778,78757
78747,COLLISION,30.121994,-97.695516,78719
78751,Crash Service,30.314421,-97.655505,78724
78729,Crash Service,30.449152,-97.791081,78750
78742,TRFC HAZD/ DEBRIS,30.256997,-97.611818,78725
78701,Traffic Hazard,30.260127,-97.709495,78702
78712,Crash Service,30.266363,-97.733174,78702
78748,Traffic Hazard,30.16865,-97.78516,78745
78751,Crash Service,30.312872,-97.661916,78724
78712,Traffic Hazard,30.315401,-97.741567,78756
78729,zSTALLED VEHICLE,30.419103,-97.746443,78727
78728,Traffic Hazard,30.406988,-97.722028,78758
78729,COLLISION WITH INJURY,30.450756,-97.829583,78726
78712,Crash Service,30.272008,-97.690741,78721
78721,Crash Service,30.29124,-97.627952,78724
78701,Traffic Hazard,30.233146,-97.798778,78735
78751,Crash Service,30.312954,-97.715004,78751
78712,Crash Service,30.292795,-97.741086,78705
78701,Traffic Hazard,30.26813,-97.778242,78746
78729,Crash Service,30.441895,-97.747667,78729
78712,Crash Service,30.270872,-97.745593,78701
78665,COLLISION,30.540162,-97.562884,78634
78712,TRFC HAZD/ DEBRIS,30.294093,-97.797993,78746
78729,COLLISION WITH INJURY,30.449055,-97.725648,78727
78728,COLLISION,30.459023,-97.667597,78728
78728,COLLISN/ LVNG SCN,30.44859,-97.666795,78660
78729,Crash Urgent,30.48005,-97.801956,78717
78701,Traffic Hazard,30.232315,-97.736888,78741
78749,Traffic Hazard,30.254263,-97.845597,78735
78729,Crash Urgent,30.411074,-97.848558,78726
78721,Traffic Hazard,30.277073,-97.637665,78724
78712,Crash Service,30.264769,-97.764988,78704
78712,Crash Urgent,30.271814,-97.690851,78721
78724,COLLISION,30.331212,-97.42527,78621
78756,Crash Urgent,30.356155,-97.730896,78757
78735,COLLISION,30.242522,-98.010901,78737
78728,Traffic Hazard,30.420374,-97.704212,78727
78712,zSTALLED VEHICLE,30.312308,-97.756714,78731
78728,Crash Service,30.412153,-97.69659,78758
78752,COLLISION,30.349984,-97.593935,78653
78712,TRFC HAZD/ DEBRIS,30.294324,-97.795495,78746
78728,zSTALLED VEHICLE,30.427939,-97.701467,78727
78749,Traffic Hazard,30.236444,-97.832335,78749
78712,Crash Urgent,30.265629,-97.734205,78702
78741,Traffic Hazard,30.191989,-97.698371,78744
78756,Crash Service,30.353351,-97.705638,78753
78749,COLLISION,30.234496,-97.9111,78737
78742,Traffic Hazard,30.203308,-97.639309,78617
78757,zSTALLED VEHICLE,30.390047,-97.734958,78759
78754,COLLISION,30.332302,-97.504973,78653
78742,COLLISION WITH INJURY,30.17243,-97.629522,78617
78712,Crash Urgent,30.266194,-97.737275,78701
78712,Crash Service,30.272049,-97.697455,78721
78701,Traffic Hazard,30.243939,-97.764334,78704
78756,Traffic Hazard,30.355077,-97.782691,78731
78742,zSTALLED VEHICLE,30.22073,-97.686077,78741
78712,Traffic Hazard,30.307904,-97.75784,78703
78741,Traffic Hazard,30.19398,-97.744682,78744
78742,TRFC HAZD/ DEBRIS,30.126375,-97.641328,78617
78701,Crash Service,30.247404,-97.774229,78704
78701,Traffic Hazard,30.238803,-97.719551,78741
78745,Traffic Hazard,30.210518,-97.803619,78745
78728,Crash Urgent,30.398738,-97.664745,78753
78749,COLLISION,30.234496,-97.9111,78737
78742,Crash Service,30.239731,-97.688313,78741
78757,Traffic Hazard,30.360241,-97.793109,78730
78754,TRFC HAZD/ DEBRIS,30.349551,-97.526317,78653
78745,COLLISION,30.220826,-97.812219,78745
78745,Traffic Hazard,30.210843,-97.804275,78745
78712,Crash Service,30.271539,-97.753964,78703
78741,Crash Service,30.18658,-97.773644,78745
78701,Crash Service,30.229909,-97.743558,78704
78729,Crash Urgent,30.47198,-97.802056,78613
78757,Traffic Hazard,30.370096,-97.802393,78750
78742,TRFC HAZD/ DEBRIS,30.240315,-97.586892,78725
78752,Traffic Hazard,30.361197,-97.686041,78753
78745,Crash Urgent,30.207196,-97.8154,78745
78728,TRFC HAZD/ DEBRIS,30.412198,-97.606072,78660
78701,Traffic Hazard,30.209894,-97.755002,78744
78748,Crash Urgent,30.17383,-97.781776,78745
78749,Traffic Hazard,30.196881,-97.848389,78749
78751,Traffic Hazard,30.333012,-97.687233,78753
78712,Traffic Hazard,30.233594,-97.740427,78741
78748,Crash Urgent,30.142828,-97.801555,78748
78712,Traffic Hazard,30.293304,-97.741771,78705
78721,Crash Urgent,30.298567,-97.623247,78724
78751,Traffic Hazard,30.333047,-97.686103,78753
78701,Crash Urgent,30.21377,-97.727031,78744
78757,Traffic Hazard,30.363109,-97.717898,78757
78741,Traffic Hazard,30.18706,-97.77247,78744
78701,Traffic Hazard,30.215836,-97.752828,78745
78712,Crash Urgent,30.265387,-97.70904,78702
78701,Crash Service,30.230353,-97.790018,78745
78703,COLLISION,30.295874,-97.828725,78746
78712,Crash Urgent,30.2412,-97.727676,78741
78757,Crash Urgent,30.396582,-97.732616,78758
78757,Crash Urgent,30.365482,-97.718401,78757
78728,COLLISN/ LVNG SCN,30.413722,-97.6528,78660
78712,Traffic Hazard,30.267751,-97.755684,78703
78729,Crash Service,30.427159,-97.75494,78727
78749,COLLISION,30.241367,-97.941611,78736
78728,Crash Service,30.42076,-97.703351,78727
78712,Traffic Hazard,30.292815,-97.741504,78705
78729,Crash Urgent,30.43325,-97.766667,78727
78752,Crash Urgent,30.371177,-97.692387,78753
78722,Traffic Hazard,30.292245,-97.663509,78724
78748,Crash Urgent,30.136998,-97.797103,78747
78749,Traffic Hazard,30.223666,-97.843519,78749
78742,COLLISN/ LVNG SCN,30.123426,-97.660456,78719
78752,Crash Urgent,30.354905,-97.690021,78753
78712,Crash Service,30.264762,-97.764996,78704
78751,Crash Urgent,30.344024,-97.705073,78753
78752,Crash Urgent,30.376797,-97.676692,78753
78712,Crash Service,30.270884,-97.749154,78701
78751,Crash Service,30.332794,-97.70463,78752
78751,Crash Service,30.314008,-97.715068,78751
78741,Traffic Hazard,30.189349,-97.768589,78744
78751,COLLISN/ LVNG SCN,30.322092,-97.659426,78724
78754,COLLISION,30.300822,-97.528341,78653
78757,Traffic Hazard,30.371642,-97.757585,78731
78751,Traffic Hazard,30.3347,-97.702757,78752
78741,Traffic Hazard,30.222942,-97.704708,78741
78749,Traffic Hazard,30.200739,-97.866127,78749
78741,Crash Urgent,30.180945,-97.750247,78744
78712,Crash Service,30.267478,-97.733511,78702
78749,TRFC HAZD/ DEBRIS,30.231256,-97.898679,78736
78701,zSTALLED VEHICLE,30.214391,-97.728168,78744
78712,Traffic Hazard,30.259885,-97.732607,78702
78728,Crash Service,30.455067,-97.665578,78660
78741,Crash Service,30.222557,-97.69783,78741
78723,Crash Service,30.300456,-97.644156,78724
78728,Crash Service,30.421446,-97.704328,78727
78712,COLLISION/PRIVATE PROPERTY,30.30188,-97.73272,78751
78741,zSTALLED VEHICLE,30.208448,-97.781513,78745
78701,Traffic Hazard,30.239552,-97.79963,78704
78749,Traffic Hazard,30.208616,-97.86078,78749
78754,TRFC HAZD/ DEBRIS,30.341076,-97.557699,78653
78730,TRFC HAZD/ DEBRIS,30.384736,-97.928245,78734
78751,Traffic Hazard,30.332199,-97.684704,78754
78742,Traffic Hazard,30.237536,-97.686826,78742
78712,Traffic Hazard,30.264998,-97.746586,78701
78747,TRFC HAZD/ DEBRIS,30.097756,-97.67283,78719
78752,Traffic Hazard,30.36853,-97.613107,78653
78748,zSTALLED VEHICLE,30.1654,-97.779525,78744
78712,Traffic Hazard,30.313464,-97.737571,78751
78729,Traffic Hazard,30.500288,-97.776495,78717
78752,Traffic Hazard,30.359505,-97.698252,78753
78721,Crash Service,30.294255,-97.626021,78724
78742,Crash Service,30.205001,-97.66301,78719
78701,Crash Urgent,30.205303,-97.757959,78744
78752,Crash Urgent,30.365151,-97.696602,78758
78728,COLLISION,30.435936,-97.68293,78728
78728,Crash Service,30.441269,-97.66485,78660
78712,Traffic Hazard,30.287778,-97.741667,78705
78726,COLLISION WITH INJURY,30.518272,-97.904795,78641
78728,zSTALLED VEHICLE,30.419978,-97.703582,78758
78756,Traffic Hazard,30.33763,-97.718872,78752
78752,Traffic Hazard,30.387004,-97.648592,78753
78749,Crash Urgent,30.257409,-97.895188,78735
78748,Traffic Hazard,30.17346,-97.8239,78748
78701,zSTALLED VEHICLE,30.224263,-97.766638,78745
78734,COLLISION,30.352087,-98.063804,78669
78712,Crash Service,30.305691,-97.70292,78723
78756,Crash Service,30.338629,-97.755172,78731
78712,Crash Urgent,30.259885,-97.732607,78702
78742,COLLISION,30.186348,-97.609481,78617
78728,COLLISION,30.419696,-97.660884,78660
78752,Crash Urgent,30.37954,-97.687684,78753
78664,COLLISION,30.436021,-97.486293,78615
78712,Crash Urgent,30.261185,-97.736346,78701
78754,COLLISION,30.349417,-97.530024,78653
78703,Crash Urgent,30.296084,-97.82949,78746
78712,Crash Service,30.261782,-97.738792,78701
78742,Traffic Hazard,30.208434,-97.64969,78617
78729,Crash Urgent,30.497843,-97.775413,78717
78751,zSTALLED VEHICLE,30.322705,-97.706085,78752
78754,LOOSE LIVESTOCK,30.342189,-97.568425,78653
78757,zSTALLED VEHICLE,30.372886,-97.726482,78757
78751,Crash Service,30.31981,-97.660143,78724
78712,Crash Urgent,30.274725,-97.731522,78701
78701,Crash Service,30.236074,-97.721283,78741
78722,Crash Urgent,30.258379,-97.700161,78702
78733,COLLISION,30.343076,-97.858175,78733
78701,Crash Service,30.234103,-97.722846,78741
78728,Crash Urgent,30.437529,-97.668654,78660
78712,Crash Service,30.267402,-97.740404,78701
78741,Crash Urgent,30.212675,-97.711942,78741
78701,Crash Service,30.257608,-97.713935,78702
78701,Traffic Hazard,30.232516,-97.793218,78704
78749,Traffic Hazard,30.236766,-97.839917,78735
78729,Crash Urgent,30.465985,-97.80395,78750
78756,Crash Urgent,30.350398,-97.716561,78757
78723,COLLISION/PRIVATE PROPERTY,30.326187,-97.638434,78724
78748,Crash Service,30.139493,-97.787937,78747
78741,Traffic Hazard,30.219222,-97.698695,78741
78756,Crash Urgent,30.334341,-97.739874,78756
78726,COLLISION WITH INJURY,30.512048,-97.911255,78641
78701,zSTALLED VEHICLE,30.227763,-97.781323,78745
78748,Crash Urgent,30.173763,-97.801331,78748
78756,Traffic Hazard,30.347507,-97.750164,78731
78748,Traffic Hazard,30.14873,-97.855025,78748
78728,COLLISION WITH INJURY,30.453951,-97.69748,78728
78756,Traffic Hazard,30.33763,-97.718872,78752
78756,Traffic Hazard,30.336702,-97.719555,78752
78712,Crash Service,30.263769,-97.764485,78704
78712,Traffic Hazard,30.264367,-97.748001,78701
78752,zSTALLED VEHICLE,30.377125,-97.676482,78753
78749,Traffic Hazard,30.230783,-97.879293,78749
78712,Crash Urgent,30.295148,-97.743983,78705
78703,Traffic Hazard,30.251311,-97.807149,78746
78751,Crash Service,30.316632,-97.662689,78724
78739,TRFC HAZD/ DEBRIS,30.164126,-97.860191,78748
78712,Crash Service,30.260893,-97.735825,78702
78751,Traffic Hazard,30.322197,-97.667985,78724
78757,Traffic Hazard,30.400541,-97.72672,78758
78741,Crash Urgent,30.188069,-97.763843,78744
78723,COLLISN/ LVNG SCN,30.307609,-97.617437,78724
78712,Crash Urgent,30.268093,-97.746633,78701
78741,LOOSE LIVESTOCK,30.133313,-97.681947,78719
78751,Crash Urgent,30.315813,-97.701535,78723
78751,Crash Urgent,30.310063,-97.667152,78723
78757,Traffic Hazard,30.38882,-97.744939,78759
78712,Crash Urgent,30.269552,-97.719964,78702
78729,COLLISN/ LVNG SCN,30.447388,-97.731266,78729
78701,Crash Urgent,30.247113,-97.691118,78725
78712,Crash Urgent,30.257216,-97.737263,78701
78729,Traffic Hazard,30.418396,-97.751326,78759
78757,Traffic Hazard,30.367698,-97.71845,78758
78712,zSTALLED VEHICLE,30.304425,-97.741431,78705
78749,TRFC HAZD/ DEBRIS,30.262126,-97.8889,78735
78712,Crash Urgent,30.278385,-97.730097,78701
78712,Crash Urgent,30.270329,-97.732476,78702
78741,TRFC HAZD/ DEBRIS,30.155837,-97.73038,78744
78742,TRFC HAZD/ DEBRIS,30.186348,-97.609481,78617
78757,Traffic Hazard,30.377737,-97.737701,78759
78729,Traffic Hazard,30.421932,-97.845022,78726
78712,Crash Service,30.241047,-97.737398,78704
78741,Traffic Hazard,30.22703,-97.707935,78741
78712,Crash Service,30.306756,-97.73557,78751
78712,Crash Urgent,30.273077,-97.745977,78701
78712,Crash Urgent,30.268066,-97.742813,78701
78722,zSTALLED VEHICLE,30.299454,-97.674037,78723
78712,Crash Service,30.241047,-97.737398,78704
78741,zSTALLED VEHICLE,30.213506,-97.717794,78741
78741,Traffic Hazard,30.22703,-97.707935,78741
78728,COLLISION WITH INJURY,30.450753,-97.666898,78728
78729,Crash Urgent,30.418215,-97.747162,78759
78723,Traffic Hazard,30.300237,-97.64822,78724
78749,TRFC HAZD/ DEBRIS,30.232239,-97.901849,78736
78712,Crash Service,30.263513,-97.754321,78704
78729,COLLISION WITH INJURY,30.449162,-97.72554,78728
78728,COLLISION,30.458917,-97.666184,78660
78748,Traffic Hazard,30.179958,-97.833498,78748
78748,zSTALLED VEHICLE,30.112253,-97.80636,78610
78756,Crash Service,30.348178,-97.712739,78758
78751,Crash Urgent,30.310063,-97.667152,78723
78728,VEHICLE FIRE,30.453861,-97.643164,78660
78712,Crash Urgent,30.261879,-97.739134,78701
78722,zSTALLED VEHICLE,30.279362,-97.67396,78721
78733,TRFC HAZD/ DEBRIS,30.325923,-97.968511,78738
78712,Crash Urgent,30.261664,-97.74517,78701
78751,COLLISION,30.321549,-97.659505,78724
78712,Crash Service,30.293376,-97.741808,78705
78757,Traffic Hazard,30.365983,-97.743121,78759
78754,TRFC HAZD/ DEBRIS,30.353367,-97.510464,78653
78701,Crash Urgent,30.228297,-97.786274,78745
78712,Traffic Hazard,30.260368,-97.727905,78702
78723,Traffic Hazard,30.336722,-97.6005,78724
78741,Crash Urgent,30.212944,-97.719415,78744
78712,Crash Urgent,30.270272,-97.745818,78701
78751,Crash Service,30.336698,-97.694527,78753
78754,TRFC HAZD/ DEBRIS,30.327907,-97.560688,78653
78745,TRFC HAZD/ DEBRIS,30.23393,-97.813263,78735
78757,Crash Urgent,30.375027,-97.739986,78759
78701,Traffic Hazard,30.223409,-97.763598,78704
78739,Traffic Hazard,30.176112,-97.8928,78739
78749,Traffic Hazard,30.20877,-97.88931,78749
78742,TRFC HAZD/ DEBRIS,30.256104,-97.554585,78653
78712,Crash Service,30.278523,-97.745151,78701
78742,TRFC HAZD/ DEBRIS,30.250849,-97.592544,78725
78741,Traffic Hazard,30.22703,-97.707935,78741
78728,Crash Urgent,30.41597,-97.706326,78758
78712,Crash Urgent,30.274725,-97.731522,78701
78712,Traffic Hazard,30.257943,-97.772979,78704
78751,Crash Urgent,30.329657,-97.67917,78754
78701,Crash Service,30.227318,-97.773388,78745
78729,Traffic Hazard,30.404553,-97.725243,78758
78748,COLLISION,30.167724,-97.830591,78748
78754,LOOSE LIVESTOCK,30.307954,-97.515105,78653
78728,Traffic Hazard,30.411519,-97.704207,78758
78742,LOOSE LIVESTOCK,30.205805,-97.544631,78617
78741,Crash Urgent,30.212781,-97.716153,78741
78741,Traffic Hazard,30.200031,-97.776211,78745
78742,Crash Service,30.206494,-97.637035,78617
78728,COLLISION WITH INJURY,30.444555,-97.630849,78660
78726,COLLISION,30.428417,-97.842791,78726
78745,COLLISN/ LVNG SCN,30.229499,-97.820312,78745
78741,Traffic Hazard,30.188966,-97.766881,78744
78701,TRFC HAZD/ DEBRIS,30.272272,-97.809162,78746
78712,Crash Service,30.276897,-97.751398,78703
78745,Crash Service,30.177654,-97.769817,78744
78757,Crash Service,30.379353,-97.716541,78758
78728,Traffic Hazard,30.419191,-97.704884,78759
78701,Crash Urgent,30.25139,-97.698572,78702
78712,Crash Service,30.272979,-97.731448,78702
78751,zSTALLED VEHICLE,30.339498,-97.700601,78753
78745,Traffic Hazard,30.234214,-97.824026,78749
78701,Traffic Hazard,30.223409,-97.763598,78704
78729,Traffic Hazard,30.466792,-97.804253,78613
78712,Crash Service,30.297003,-97.74263,78705
78752,Crash Urgent,30.387004,-97.648592,78753
78742,TRFC HAZD/ DEBRIS,30.270085,-97.628712,78725
78712,Crash Service,30.287429,-97.773129,78703
78734,COLLISION WITH INJURY,30.29065,-98.020796,78620
78712,Traffic Hazard,30.260119,-97.771307,78704
78728,Crash Urgent,30.401355,-97.706006,78758
78751,Crash Service,30.332223,-97.686621,78752
78757,Crash Service,30.365757,-97.718536,78757
78728,TRFC HAZD/ DEBRIS,30.456661,-97.666439,78660
78712,Crash Service,30.288861,-97.773137,78703
78728,COLLISION,30.446451,-97.688006,78728
78729,Crash Urgent,30.461367,-97.793897,78729
78751,Crash Service,30.318362,-97.706881,78723
78712,Crash Urgent,30.262956,-97.735747,78701
78748,Crash Urgent,30.146636,-97.793272,78747
78745,Crash Urgent,30.187596,-97.815256,78745
78741,Traffic Hazard,30.214871,-97.744415,78744
78748,Crash Urgent,30.125503,-97.801341,78747
78754,TRFC HAZD/ DEBRIS,30.376997,-97.580889,78653
78723,TRFC HAZD/ DEBRIS,30.322212,-97.608048,78724
78712,Crash Urgent,30.307091,-97.741895,78751
78756,zSTALLED VEHICLE,30.361297,-97.744736,78759
78733,COLLISION/PRIVATE PROPERTY,30.267826,-97.864117,78735
78756,Crash Service,30.350819,-97.713255,78758
78712,Crash Service,30.257178,-97.746912,78704
78748,COLLISION,30.160639,-97.769665,78744
78748,Crash Urgent,30.167528,-97.784814,78744
78728,Traffic Hazard,30.407802,-97.678176,78753
78712,Traffic Hazard,30.301753,-97.714955,78722
78729,Traffic Hazard,30.449941,-97.819139,78726
78712,Crash Urgent,30.27993,-97.729339,78705
78728,TRFC HAZD/ DEBRIS,30.434973,-97.677193,78728
78748,Traffic Hazard,30.143662,-97.804799,78652
78726,Crash Service,30.427742,-97.843033,78726
78712,Crash Urgent,30.265836,-97.74215,78701
78729,Crash Urgent,30.46673,-97.809037,78613
78728,TRFC HAZD/ DEBRIS,30.432094,-97.679662,78728
78723,COLLISION,30.327572,-97.62643,78724
78701,Crash Urgent,30.207057,-97.757307,78745
78728,Crash Service,30.407863,-97.673951,78753
78757,Traffic Hazard,30.373504,-97.726291,78758
78751,Crash Urgent,30.335367,-97.702237,78752
78712,Traffic Hazard,30.265929,-97.746245,78701
78757,Traffic Hazard,30.389776,-97.733788,78758
78756,Traffic Hazard,30.347215,-97.750296,78731
78701,Traffic Hazard,30.241411,-97.689559,78741
78712,Crash Urgent,30.249519,-97.752145,78704
78741,zSTALLED VEHICLE,30.218914,-97.69125,78741
78729,Traffic Hazard,30.467036,-97.803397,78613
78741,Crash Urgent,30.223439,-97.792389,78745
78728,COLLISN/ LVNG SCN,30.457728,-97.687935,78728
78749,Crash Urgent,30.21452,-97.832029,78749
78728,COLLISION,30.392107,-97.596807,78653
78749,Crash Urgent,30.215876,-97.833494,78749
78729,Traffic Hazard,30.40024,-97.745759,78759
78712,Traffic Hazard,30.292198,-97.759777,78703
78741,Crash Urgent,30.182873,-97.687638,78719
78703,Traffic Hazard,30.246559,-97.804971,78746
78751,zSTALLED VEHICLE,30.338333,-97.698046,78753
78754,TRFC HAZD/ DEBRIS,30.382595,-97.524797,78653
78728,COLLISION,30.444414,-97.667622,78660
78705,TRFC HAZD/ DEBRIS,30.285064,-97.812114,78746
78712,Crash Service,30.262023,-97.75777,78704
78749,Crash Service,30.201255,-97.838485,78745
78741,COLLISN/ LVNG SCN,30.180037,-97.68842,78719
78701,Traffic Hazard,30.231667,-97.717469,78741
78701,Crash Service,30.254701,-97.714666,78702
78751,Crash Service,30.321576,-97.717596,78752
78757,Traffic Hazard,30.390857,-97.714011,78758
78712,Crash Service,30.311207,-97.713391,78751
78745,Traffic Hazard,30.211727,-97.826164,78745
78748,Crash Urgent,30.111226,-97.807729,78747
78712,Traffic Hazard,30.247935,-97.735304,78741
78747,COLLISION WITH INJURY,30.030523,-97.674465,78644
78712,Crash Urgent,30.265881,-97.735003,78701
78752,TRFC HAZD/ DEBRIS,30.338496,-97.64872,78754
78745,COLLISION,30.233583,-97.818332,78735
78701,zSTALLED VEHICLE,30.228112,-97.779121,78704
78751,zSTALLED VEHICLE,30.337764,-97.696814,78753
78734,COLLISION,30.287363,-98.053237,78620
78742,Traffic Hazard,30.221125,-97.683303,78744
78712,Crash Service,30.26757,-97.753077,78703
78701,COLLISION,30.22987,-97.713178,78741
78748,Crash Urgent,30.164985,-97.800906,78748
78712,Traffic Hazard,30.248911,-97.753719,78704
78712,Crash Service,30.26056,-97.748934,78704
78733,COLLISION,30.338805,-97.970063,78738
78757,Traffic Hazard,30.391074,-97.721789,78758
78742,TRFC HAZD/ DEBRIS,30.238537,-97.576617,78725
78749,Crash Urgent,30.214607,-97.831801,78749
78701,Crash Service,30.241784,-97.757724,78704
78748,COLLISN/ LVNG SCN,30.111563,-97.749194,78747
78729,Crash Urgent,30.443167,-97.833268,78726
78728,Crash Urgent,30.41901,-97.702221,78758
78728,zSTALLED VEHICLE,30.410739,-97.69551,78758
78748,Crash Service,30.136291,-97.790575,78747
78712,Traffic Hazard,30.23768,-97.739261,78704
78757,Crash Service,30.386648,-97.69811,78758
78747,TRFC HAZD/ DEBRIS,30.115334,-97.695139,78719
78742,TRFC HAZD/ DEBRIS,30.237588,-97.578374,78725
78742,LOOSE LIVESTOCK,30.267489,-97.566952,78653
78751,Crash Urgent,30.332335,-97.703143,78752
78712,Crash Urgent,30.257348,-97.722221,78702
78729,Traffic Hazard,30.438145,-97.837536,78726
78741,COLLISION,30.170621,-97.699983,78744
78751,Crash Urgent,30.337346,-97.701411,78752
78749,Traffic Hazard,30.229075,-97.886568,78749
78756,zSTALLED VEHICLE,30.355746,-97.751706,78731
78726,VEHICLE FIRE,30.416815,-97.929297,78734
78712,Traffic Hazard,30.282572,-97.703945,78721
78728,Traffic Hazard,30.399956,-97.67931,78753
78712,zSTALLED VEHICLE,30.279157,-97.747284,78701
78745,Traffic Hazard,30.234056,-97.822396,78749
78745,Traffic Hazard,30.193883,-97.789838,78745
78751,Traffic Hazard,30.335302,-97.691527,78753
78754,TRFC HAZD/ DEBRIS,30.337083,-97.563978,78653
78748,Crash Urgent,30.160294,-97.789771,78748
78712,Crash Urgent,30.303146,-97.714302,78722
78712,Traffic Hazard,30.313464,-97.737571,78751
78729,Crash Service,30.433837,-97.738871,78727
78754,COLLISION,30.350754,-97.537665,78653
78726,VEHICLE FIRE,30.416815,-97.929297,78734
78749,Crash Urgent,30.235513,-97.8566,78735
78712,Crash Urgent,30.261799,-97.735983,78702
78745,Traffic Hazard,30.193883,-97.789838,78745
78748,Crash Urgent,30.172951,-97.785277,78745
78747,COLLISION,30.129578,-97.684283,78719
78712,Traffic Hazard,30.270411,-97.73279,78702
78712,Crash Urgent,30.271831,-97.745229,78701
78712,Crash Urgent,30.268007,-97.738949,78701
78747,COLLISION,30.129578,-97.684283,78719
78728,TRFC HAZD/ DEBRIS,30.438998,-97.671992,78728
78712,Crash Urgent,30.266418,-97.755457,78703
78728,COLLISN/ LVNG SCN,30.436371,-97.674226,78728
78701,Crash Service,30.247551,-97.80418,78746
78712,Crash Service,30.270292,-97.754594,78703
78751,Traffic Hazard,30.312836,-97.665171,78723
78701,Crash Urgent,30.222631,-97.747587,78741
78712,Crash Urgent,30.282798,-97.727424,78705
78757,Traffic Hazard,30.389044,-97.746173,78759
78712,Crash Urgent,30.286254,-97.706374,78723
78751,Crash Service,30.337132,-97.682807,78754
78703,TRFC HAZD/ DEBRIS,30.299959,-97.846734,78746
78741,Traffic Hazard,30.189208,-97.767899,78744
78745,Crash Urgent,30.235695,-97.821134,78735
78703,TRFC HAZD/ DEBRIS,30.296007,-97.829398,78746
78741,Traffic Hazard,30.189208,-97.767899,78744
78751,Traffic Hazard,30.306365,-97.680121,78723
78712,zSTALLED VEHICLE,30.23468,-97.743685,78704
78757,Crash Urgent,30.389242,-97.745764,78759
78757,Crash Urgent,30.367022,-97.720224,78757
78742,Crash Service,30.171359,-97.617314,78617
78729,Crash Urgent,30.42463,-97.750856,78759
78701,Crash Urgent,30.229511,-97.712633,78741
78742,Traffic Hazard,30.180613,-97.64661,78617
78712,Crash Urgent,30.269311,-97.750954,78701
78728,Crash Urgent,30.425067,-97.714533,78727
78723,Traffic Hazard,30.300237,-97.64822,78724
78741,Traffic Hazard,30.224925,-97.703433,78741
78756,Crash Service,30.336985,-97.756157,78731
