Camera ID,Location Name,Camera Status,Turn on Date,Camera Manufacturer,ATD Location ID,Landmark,Signal Engineer Area,Council District,Jurisdiction,Location Type,Primary St Segment ID,Cross St Segment ID,Primary Street Block,Primary Street,PRIMARY_ST_AKA,Cross Street Block,Cross Street,CROSS_ST_AKA,COA Intersection ID,Modified Date,Location,IP Comm Status,IP Comm Status Date and Time,Longitude,Latitude,Published Screenshots,Screenshot Address,Funding
41,FM 973 RD / 812 RD,TURNED_ON,,Sarix,LOC16-007020,,SOUTHEAST,2,AUSTIN 2 MILE ETJ,ROADWAY,,,7320,FM 973 RD,,10000,FM 812 RD,,5165411,11/19/2018 09:15:00 PM +0000,"(30.15286, -97.670519)",ONLINE,11/09/2018 09:35:00 AM +0000,-97.670519,30.15286,,http://162.89.13.145/CCTVImages/CCTV41.jpg,
42,7000 BLK DECKER LN (EXPO CENTER DRIVEWAY),TURNED_ON,,Sarix,LOC16-006945,EXPO CENTER DRIVEWAY,NORTHEAST,1,AUSTIN FULL PURPOSE,ROADWAY,,,7000, DECKER LN,,,  ,,,11/19/2018 09:15:00 PM +0000,"(30.29682, -97.624578)",ONLINE,10/06/2018 08:30:00 AM +0000,-97.624578,30.29682,,http://162.89.13.145/CCTVImages/CCTV42.jpg,
47, CONGRESS AVE / WASSON RD,TURNED_ON,,Sarix,LOC16-006920,,SOUTHWEST,3,AUSTIN FULL PURPOSE,ROADWAY,,,4703, CONGRESS AVE,,5001, WASSON RD,,5153279,11/19/2018 09:15:00 PM +0000,"(30.210902, -97.771369)",OFFLINE,08/14/2018 06:48:00 PM +0000,-97.771369,30.210902,,http://162.89.13.145/CCTVImages/CCTV47.jpg,
49,6600 BLK LAKEWOOD DR (BULL CREEK LOW WATER XING),TURNED_ON,,Sarix,LOC16-006915,BULL CREEK LOW WATER XING,NORTHWEST,10,AUSTIN FULL PURPOSE,ROADWAY,,,6600, LAKEWOOD DR,,,  ,,,11/19/2018 09:15:00 PM +0000,"(30.366129, -97.787368)",OFFLINE,07/02/2018 08:30:00 AM +0000,-97.787368,30.366129,,http://162.89.13.145/CCTVImages/CCTV49.jpg,
39, CESAR CHAVEZ ST / SAN JACINTO BLVD (FOUR SEASONS - WEST),TURNED_ON,,Sarix,LOC16-006955,FOUR SEASONS - WEST,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,200, CESAR CHAVEZ ST,,100, SAN JACINTO BLVD,,,12/29/2018 09:45:00 AM +0000,"(30.261807, -97.74283)",ONLINE,12/29/2018 09:35:00 AM +0000,-97.74283,30.261807,,http://162.89.13.145/CCTVImages/CCTV39.jpg,None Identified
40, CESAR CHAVEZ ST / SAN JACINTO BLVD (FOUR SEASONS - EAST),TURNED_ON,,Sarix,LOC16-006950,FOUR SEASONS - EAST,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,200, CESAR CHAVEZ ST,,100, SAN JACINTO BLVD,,,12/29/2018 09:45:00 AM +0000,"(30.261684, -97.742403)",ONLINE,12/29/2018 09:35:00 AM +0000,-97.742403,30.261684,,http://162.89.13.145/CCTVImages/CCTV40.jpg,None Identified
60, AIRPORT BLVD / DENSON DR,TURNED_ON,,Sarix,LOC16-000080,,NORTHEAST,4,AUSTIN FULL PURPOSE,ROADWAY,,,6200, AIRPORT BLVD,,101, DENSON DR,,5160231,11/19/2018 09:15:00 PM +0000,"(30.3270321, -97.7160797)",ONLINE,06/22/2018 08:30:00 AM +0000,-97.7160797,30.3270321,,http://162.89.13.145/CCTVImages/CCTV60.jpg,
62,BLK (NW Corner),TURNED_ON,06/26/2017,Sarix,LOC17-010385,NW Corner,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,,  ,,,  ,,5157068,11/19/2018 09:15:00 PM +0000,"(30.281803, -97.742011)",OFFLINE,11/16/2018 09:35:00 AM +0000,-97.742011,30.281803,,http://162.89.13.145/CCTVImages/CCTV62.jpg,None Identified
88, LAMAR BLVD / 45TH ST,TURNED_ON,,Sarix,LOC16-000505,,CENTRAL,"10,9",AUSTIN FULL PURPOSE,ROADWAY,,,4400, LAMAR BLVD,,1001, 45TH ST,,5157553,11/19/2018 09:15:00 PM +0000,"(30.3134632, -97.7375946)",ONLINE,01/09/2018 03:31:00 AM +0000,-97.7375946,30.3134632,,http://162.89.13.145/CCTVImages/CCTV88.jpg,
86, ANDERSON LN / SHOAL CREEK BLVD,TURNED_ON,,Sarix,LOC16-000470,,NORTHWEST,7,AUSTIN FULL PURPOSE,ROADWAY,,,3100, ANDERSON LN,,7900, SHOAL CREEK BLVD,,5156894,01/01/2019 09:45:00 AM +0000,"(30.361021, -97.7408447)",ONLINE,01/01/2019 09:35:00 AM +0000,-97.7408447,30.361021,,http://162.89.13.145/CCTVImages/CCTV86.jpg,
83, BURNET RD / NORTH LOOP BLVD,TURNED_ON,06/26/2018,Sarix,LOC16-000430,,NORTHWEST,7,AUSTIN FULL PURPOSE,ROADWAY,,,5300, BURNET RD,,1631, NORTH LOOP BLVD,,5157233,01/19/2019 09:45:00 AM +0000,"(30.3258514, -97.7396164)",ONLINE,01/19/2019 09:35:00 AM +0000,-97.7396164,30.3258514,,http://162.89.13.145/CCTVImages/CCTV83.jpg,None Identified
82, ALLANDALE RD / BURNET RD (KOENIG LN),TURNED_ON,,Sarix,LOC16-000415,KOENIG LN,NORTHWEST,7,AUSTIN FULL PURPOSE,BUILDING,,,2100, ALLANDALE RD,,5900, BURNET RD,,5157162,04/07/2019 08:45:00 AM +0000,"(30.3348522, -97.7398224)",OFFLINE,04/07/2019 08:35:00 AM +0000,-97.7398224,30.3348522,,http://162.89.13.145/CCTVImages/CCTV82.jpg,None Identified
108, GUADALUPE ST / 2ND ST,TURNED_ON,09/27/2017,Sarix,LOC16-000760,,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,200, GUADALUPE ST,,401, 2ND ST,,5156234,11/26/2018 09:45:00 AM +0000,"(30.2652874, -97.747673)",ONLINE,11/26/2018 09:35:00 AM +0000,-97.747673,30.2652874,,http://162.89.13.145/CCTVImages/CCTV108.jpg,None Identified
107, SAN JACINTO BLVD / 2ND ST,TURNED_ON,,Sarix,LOC16-000750,,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,200, SAN JACINTO BLVD,,200, 2ND ST,,5157156,01/05/2019 09:45:00 AM +0000,"(30.2636414, -97.7417908)",ONLINE,01/05/2019 09:35:00 AM +0000,-97.7417908,30.2636414,,http://162.89.13.145/CCTVImages/CCTV107.jpg,
109, CONGRESS AVE / 2ND ST,TURNED_ON,,Sarix,LOC16-000770,,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,200, CONGRESS AVE,,101, 2ND ST,,5156770,03/24/2019 08:45:00 AM +0000,"(30.2643204, -97.744194)",OFFLINE,03/24/2019 08:35:00 AM +0000,-97.744194,30.2643204,,http://162.89.13.145/CCTVImages/CCTV109.jpg,
130, LAVACA ST / 4TH ST,TURNED_ON,,Sarix,LOC16-001405,,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,400, LAVACA ST,,301, 4TH ST,,5156508,11/30/2018 09:45:00 AM +0000,"(30.2668762, -97.7458725)",OFFLINE,11/30/2018 09:35:00 AM +0000,-97.7458725,30.2668762,,http://162.89.13.145/CCTVImages/CCTV130.jpg,
153, OLTORF ST / 35 SVRD,TURNED_ON,,Sarix,LOC16-001875,,SOUTHWEST,9,AUSTIN FULL PURPOSE,ROADWAY,,,1400, OLTORF ST,,2200,IH 35 SVRD,,5157291,11/19/2018 09:15:00 PM +0000,"(30.2338505, -97.7416534)",ONLINE,03/29/2018 08:30:00 AM +0000,-97.7416534,30.2338505,,http://162.89.13.145/CCTVImages/CCTV153.jpg,
155, PLEASANT VALLEY RD / RIVERSIDE DR,TURNED_ON,,Sarix,LOC16-001920,,SOUTHWEST,3,AUSTIN FULL PURPOSE,ROADWAY,,,1950, PLEASANT VALLEY RD,,2512, RIVERSIDE DR,,5159771,01/30/2019 09:45:00 AM +0000,"(30.2341137, -97.7228088)",ONLINE,01/30/2019 09:35:00 AM +0000,-97.7228088,30.2341137,,http://162.89.13.145/CCTVImages/CCTV155.jpg,None Identified
156, 1ST ST / ST ELMO RD,TURNED_ON,,Advidia,LOC16-001970,,SOUTHWEST,3,AUSTIN FULL PURPOSE,ROADWAY,,,4400, 1ST ST,,601, ST ELMO RD,,5153096,03/27/2019 08:45:00 AM +0000,"(30.2210426, -97.7728806)",ONLINE,03/27/2019 08:35:00 AM +0000,-97.7728806,30.2210426,,http://162.89.13.145/CCTVImages/CCTV156.jpg,None Identified
179, LAMAR BLVD / RUNDBERG LN,TURNED_ON,,Sarix,LOC16-002330,,NORTHEAST,4,AUSTIN FULL PURPOSE,ROADWAY,,,9200, LAMAR BLVD,,411, RUNDBERG LN,,5162155,01/01/2019 09:45:00 AM +0000,"(30.3631401, -97.6970215)",ONLINE,01/01/2019 09:35:00 AM +0000,-97.6970215,30.3631401,,http://162.89.13.145/CCTVImages/CCTV179.jpg,
180, DUVAL RD / MOPAC EXPY SVRD,TURNED_ON,,Sarix,LOC16-002420,,NORTHWEST,7,AUSTIN FULL PURPOSE,ROADWAY,,,3000, DUVAL RD,,12000, MOPAC EXPY SVRD,,5159989,03/27/2019 08:45:00 AM +0000,"(30.4090595, -97.716095)",ONLINE,03/27/2019 08:35:00 AM +0000,-97.716095,30.4090595,,http://162.89.13.145/CCTVImages/CCTV180.jpg,None Identified
203, AIRPORT BLVD / WILSHIRE BLVD,TURNED_ON,,Sarix,LOC16-002740,,NORTHEAST,9,AUSTIN FULL PURPOSE,ROADWAY,,,4301, AIRPORT BLVD,,1610, WILSHIRE BLVD,,5161099,01/08/2019 04:23:00 PM +0000,"(30.2978573, -97.7088776)",ONLINE,10/27/2018 08:30:00 AM +0000,-97.7088776,30.2978573,,http://162.89.13.145/CCTVImages/CCTV203.jpg,None Identified
204,IH 35 SVRD / 290 HWY SVRD (E Koenig LN),TURNED_ON,,Sarix,LOC16-002895,E Koenig LN,NORTHEAST,4,AUSTIN FULL PURPOSE,ROADWAY,,,6100,IH 35 SVRD,,6100,US 290 HWY SVRD,,5161309,04/03/2019 08:45:00 AM +0000,"(30.3227043, -97.7060852)",ONLINE,04/03/2019 08:35:00 AM +0000,-97.7060852,30.3227043,,http://162.89.13.145/CCTVImages/CCTV204.jpg,
225, LAKELINE BLVD / 183 HWY SVRD,TURNED_ON,,Sarix,LOC16-003315,,NORTHWEST,6,AUSTIN FULL PURPOSE,ROADWAY,,,2901, LAKELINE BLVD,,14076,US 183 HWY SVRD,,5149505,01/01/2019 09:46:00 AM +0000,"(30.4794254, -97.803299)",ONLINE,01/01/2019 09:35:00 AM +0000,-97.803299,30.4794254,,http://162.89.13.145/CCTVImages/CCTV225.jpg,None Identified
223,5701 BLK MC NEIL DR (YMCA),TURNED_ON,08/11/2017,Sarix,LOC16-003285,YMCA,NORTHWEST,6,AUSTIN 2 MILE ETJ,ROADWAY,,,5701, MC NEIL DR,,,  ,,,03/21/2019 08:45:00 AM +0000,"(30.4463997, -97.7342911)",ONLINE,03/21/2019 08:35:00 AM +0000,-97.7342911,30.4463997,,http://162.89.13.145/CCTVImages/CCTV223.jpg,None Identified
224, MC NEIL RD / HOWARD LN,TURNED_ON,,Sarix,LOC16-003290,,NORTHWEST,6,AUSTIN LTD,ROADWAY,,,13600, MC NEIL RD,,5001, HOWARD LN,,5158796,03/21/2019 08:45:00 AM +0000,"(30.4490528, -97.7255859)",ONLINE,03/21/2019 08:35:00 AM +0000,-97.7255859,30.4490528,,http://162.89.13.145/CCTVImages/CCTV224.jpg,
246, PARMER LN / LEGENDARY DR (Riata Vista Circle - West),TURNED_ON,,Sarix,LOC16-003815,Riata Vista Circle - West,NORTHWEST,6,AUSTIN FULL PURPOSE,ROADWAY,,,5600, PARMER LN,,13420, LEGENDARY DR,,5157325,01/01/2019 09:46:00 AM +0000,"(30.4372978, -97.7359543)",ONLINE,01/01/2019 09:35:00 AM +0000,-97.7359543,30.4372978,,http://162.89.13.145/CCTVImages/CCTV246.jpg,
270, ROSS RD / THOME VALLEY DR,TURNED_ON,,Sarix,LOC16-004255,,SOUTHEAST,2,AUSTIN FULL PURPOSE,ROADWAY,,,5310, ROSS RD,,12700, THOME VALLEY DR,,5168145,11/19/2018 09:15:00 PM +0000,"(30.1740685, -97.6202011)",ONLINE,01/09/2018 03:32:00 AM +0000,-97.6202011,30.1740685,,http://162.89.13.145/CCTVImages/CCTV270.jpg,
268, CAPITAL OF TEXAS HWY / RESEARCH BLVD SVRD,TURNED_ON,,Sarix,LOC16-004225,,NORTHWEST,10,AUSTIN FULL PURPOSE,ROADWAY,,,9530, CAPITAL OF TEXAS HWY,,9800, RESEARCH BLVD SVRD,,5156010,01/01/2019 09:46:00 AM +0000,"(30.3892517, -97.7457657)",ONLINE,01/01/2019 09:35:00 AM +0000,-97.7457657,30.3892517,,http://162.89.13.145/CCTVImages/CCTV268.jpg,
271, CAPITAL OF TEXAS HWY / PASCAL LN,TURNED_ON,,Sarix,LOC16-004265,,NORTHWEST,10,AUSTIN FULL PURPOSE,ROADWAY,,,1000, CAPITAL OF TEXAS HWY,,2, PASCAL LN,,5148102,01/01/2019 09:46:00 AM +0000,"(30.3154545, -97.8260498)",ONLINE,01/01/2019 09:35:00 AM +0000,-97.8260498,30.3154545,,http://162.89.13.145/CCTVImages/CCTV271.jpg,
273,FM 620 RD / 2222 RD,TURNED_ON,,Sarix,LOC16-004300,,NORTHWEST,6,AUSTIN FULL PURPOSE,ROADWAY,,,7100,FM 620 RD,,10801,FM 2222 RD,,5145335,01/01/2019 09:46:00 AM +0000,"(30.4036922, -97.8540649)",ONLINE,01/01/2019 09:35:00 AM +0000,-97.8540649,30.4036922,,http://162.89.13.145/CCTVImages/CCTV273.jpg,
276,SH 71  / 973 RD,TURNED_ON,09/27/2017,Sarix,LOC16-004320,,SOUTHEAST,2,AUSTIN FULL PURPOSE,ROADWAY,,,3228,SH 71 ,,3301,FM 973 RD,,5167205,02/08/2019 09:45:00 AM +0000,"(30.2023029, -97.6377563)",ONLINE,02/08/2019 09:35:00 AM +0000,-97.6377563,30.2023029,,http://162.89.13.145/CCTVImages/CCTV276.jpg,None Identified
272, ANDERSON MILL RD / SPICEWOOD PKWY,TURNED_ON,,Sarix,LOC16-004280,,NORTHWEST,6,AUSTIN FULL PURPOSE,ROADWAY,,,10407, ANDERSON MILL RD,,11610, SPICEWOOD PKWY,,5149246,02/28/2019 09:45:00 AM +0000,"(30.4471569, -97.8072357)",OFFLINE,02/28/2019 09:35:00 AM +0000,-97.8072357,30.4471569,,http://162.89.13.145/CCTVImages/CCTV272.jpg,
314, LAMAR BLVD / 9TH ST,TURNED_ON,06/05/2018,Advidia,LOC16-000635,,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,600, LAMAR BLVD,,1001, 9TH ST,,5155448,11/19/2018 09:15:00 PM +0000,"(30.2739487, -97.7527771)",ONLINE,06/06/2018 08:30:00 AM +0000,-97.7527771,30.2739487,,http://162.89.13.145/CCTVImages/CCTV314.jpg,1/4 Cent
315, CESAR CHAVEZ ST / B R REYNOLDS DR,TURNED_ON,06/05/2018,Advidia,LOC16-001130,,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,1000, CESAR CHAVEZ ST,,100, B R REYNOLDS DR,,5154951,11/19/2018 09:15:00 PM +0000,"(30.266964, -97.7570953)",ONLINE,06/08/2018 08:30:00 AM +0000,-97.7570953,30.266964,,http://162.89.13.145/CCTVImages/CCTV315.jpg,1/4 Cent
316, LAMAR BLVD / TREADWELL ST,DESIRED,,,LOC16-000625,,SOUTHWEST,5,AUSTIN FULL PURPOSE,ROADWAY,,,800, LAMAR BLVD,,1301, TREADWELL ST,,5154433,11/19/2018 09:15:00 PM +0000,"(30.256052, -97.7614899)",NO COMMUNICATION,11/18/2017 11:26:00 PM +0000,-97.7614899,30.256052,,http://162.89.13.145/CCTVImages/CCTV316.jpg,None Identified
317, LAMAR BLVD / HETHER ST,DESIRED,,,LOC16-000605,,SOUTHWEST,5,AUSTIN FULL PURPOSE,ROADWAY,,,2000, LAMAR BLVD,,1401, HETHER ST,,5153644,11/19/2018 09:15:00 PM +0000,"(30.2494106, -97.7674408)",NO COMMUNICATION,11/18/2017 11:26:00 PM +0000,-97.7674408,30.2494106,,http://162.89.13.145/CCTVImages/CCTV317.jpg,None Identified
319, MANCHACA RD / PRATHER LN (Ann Richard's School),DESIRED,,,LOC16-005150,Ann Richard's School,SOUTHWEST,5,AUSTIN FULL PURPOSE,ROADWAY,,,3712, MANCHACA RD,,2001, PRATHER LN,,5151650,11/19/2018 09:15:00 PM +0000,"(30.2339172, -97.7857132)",NO COMMUNICATION,11/18/2017 11:26:00 PM +0000,-97.7857132,30.2339172,,http://162.89.13.145/CCTVImages/CCTV319.jpg,1/4 Cent
318, MANCHACA RD / BARTON SKWY (Lightsey Rd),TURNED_ON,07/31/2017,Spectra Enhanced,LOC16-000920,Lightsey Rd,SOUTHWEST,5,AUSTIN FULL PURPOSE,ROADWAY,,,2800, MANCHACA RD,,2101, BARTON SKWY,,5152078,01/08/2019 04:25:00 PM +0000,"(30.2426128, -97.781662)",OFFLINE,12/27/2018 09:35:00 AM +0000,-97.781662,30.2426128,,http://162.89.13.145/CCTVImages/CCTV318.jpg,1/4 Cent
320, MANCHACA RD / REDD ST,TURNED_ON,07/26/2017,Sarix,LOC16-000935,,SOUTHWEST,5,AUSTIN FULL PURPOSE,ROADWAY,,,4400, MANCHACA RD,,2001, REDD ST,,5151323,03/05/2019 04:30:00 PM +0000,"(30.2282581, -97.7894058)",OFFLINE,01/18/2019 09:35:00 AM +0000,-97.7894058,30.2282581,,http://162.89.13.145/CCTVImages/CCTV320.jpg,1/4 Cent
358, 6TH ST / 35 SVRD,VOID,,,LOC16-001645,,CENTRAL,"3,9",AUSTIN FULL PURPOSE,ROADWAY,,,700, 6TH ST,,600,IH 35 SVRD,,5158201,11/19/2018 09:15:00 PM +0000,"(30.2658806, -97.7350006)",NO COMMUNICATION,11/18/2017 11:26:00 PM +0000,-97.7350006,30.2658806,,http://162.89.13.145/CCTVImages/CCTV358.jpg,1/4 Cent
359, BRODIE LN / BEN GARZA LN,TURNED_ON,07/06/2018,Spectra Enhanced,LOC16-003965,,SOUTHWEST,8,AUSTIN FULL PURPOSE,ROADWAY,,,6300, BRODIE LN,,3501, BEN GARZA LN,,5148259,11/19/2018 09:15:00 PM +0000,"(30.2198162, -97.8266525)",ONLINE,11/07/2018 09:35:00 AM +0000,-97.8266525,30.2198162,,http://162.89.13.145/CCTVImages/CCTV359.jpg,1/4 Cent
363, SOUTHWEST PKWY / WILLIAM CANNON DR,DESIRED,,,LOC16-003645,,SOUTHWEST,8,AUSTIN FULL PURPOSE,ROADWAY,,,7018, SOUTHWEST PKWY,,7161, WILLIAM CANNON DR,,5144805,11/19/2018 09:15:00 PM +0000,"(30.2545109, -97.8656235)",NO COMMUNICATION,11/18/2017 11:26:00 PM +0000,-97.8656235,30.2545109,,http://162.89.13.145/CCTVImages/CCTV363.jpg,None Identified
357, 5TH ST / RED RIVER ST,TURNED_ON,11/21/2017,Spectra Enhanced,LOC16-001560,,CENTRAL,9,AUSTIN FULL PURPOSE,ROADWAY,,,500, 5TH ST,,500, RED RIVER ST,,5157789,03/18/2019 08:45:00 AM +0000,"(30.2655354, -97.7374878)",ONLINE,03/18/2019 08:35:00 AM +0000,-97.7374878,30.2655354,,http://162.89.13.145/CCTVImages/CCTV357.jpg,1/4 Cent
364, SOUTHWEST PKWY / FOSTER RANCH RD,TURNED_ON,06/19/2018,Advidia,LOC16-001020,,SOUTHWEST,8,AUSTIN FULL PURPOSE,ROADWAY,,,6000, SOUTHWEST PKWY,,4501, FOSTER RANCH RD,,5146140,04/13/2019 08:40:00 AM +0000,"(30.2480564, -97.8497391)",ONLINE,04/13/2019 08:30:00 AM +0000,-97.8497391,30.2480564,,http://162.89.13.145/CCTVImages/CCTV364.jpg,1/4 Cent
365, SOUTHWEST PKWY / BOSTON LN,TURNED_ON,06/21/2018,Advidia,LOC16-003030,,SOUTHWEST,8,AUSTIN FULL PURPOSE,ROADWAY,,,4501, SOUTHWEST PKWY,,4501, BOSTON LN,,5147638,04/13/2019 08:40:00 AM +0000,"(30.2401161, -97.8332901)",ONLINE,04/13/2019 08:30:00 AM +0000,-97.8332901,30.2401161,,http://162.89.13.145/CCTVImages/CCTV365.jpg,1/4 Cent
379, BARTON SPRINGS RD / KINNEY AVE,TURNED_ON,05/21/2018,Advidia,LOC16-000640,,SOUTHWEST,5,AUSTIN FULL PURPOSE,ROADWAY,,,1501, BARTON SPRINGS RD,,501, KINNEY AVE,,5154418,11/19/2018 09:15:00 PM +0000,"(30.261982, -97.761467)",ONLINE,05/22/2018 08:30:00 AM +0000,-97.761467,30.261982,,http://162.89.13.145/CCTVImages/CCTV379.jpg,1/4 Cent
380, BARTON SPRINGS RD / BOULDIN AVE,TURNED_ON,05/07/2018,Advidia,LOC16-001145,,SOUTHWEST,9,AUSTIN FULL PURPOSE,ROADWAY,,,600, BARTON SPRINGS RD,,101, BOULDIN AVE,,5155411,11/19/2018 09:15:00 PM +0000,"(30.2595844, -97.753479)",ONLINE,05/08/2018 08:30:00 AM +0000,-97.753479,30.2595844,,http://162.89.13.145/CCTVImages/CCTV380.jpg,1/4 Cent
381, 7TH ST / ATTAYAC ST,TURNED_ON,06/07/2018,Advidia,LOC16-001715,,CENTRAL,"3,1",AUSTIN FULL PURPOSE,ROADWAY,,,1201, 7TH ST,,600, ATTAYAC ST,,5158993,11/19/2018 09:15:00 PM +0000,"(30.2650185, -97.7290802)",ONLINE,06/08/2018 08:30:00 AM +0000,-97.7290802,30.2650185,,http://162.89.13.145/CCTVImages/CCTV381.jpg,1/4 Cent
382, 7TH ST / COMAL ST,TURNED_ON,03/06/2018,Advidia,LOC16-001720,,CENTRAL,"3,1",AUSTIN FULL PURPOSE,ROADWAY,,,1500, 7TH ST,,700, COMAL ST,,5159325,11/19/2018 09:15:00 PM +0000,"(30.2639542, -97.7261353)",ONLINE,03/30/2018 08:30:00 AM +0000,-97.7261353,30.2639542,,http://162.89.13.145/CCTVImages/CCTV382.jpg,1/4 Cent
383, 7TH ST / PEDERNALES ST,TURNED_ON,02/28/2018,Advidia,LOC16-001735,,CENTRAL,3,AUSTIN FULL PURPOSE,ROADWAY,,,2500, 7TH ST,,700, PEDERNALES ST,,5160710,11/19/2018 09:15:00 PM +0000,"(30.2609138, -97.7137146)",ONLINE,04/27/2018 08:30:00 AM +0000,-97.7137146,30.2609138,,http://162.89.13.145/CCTVImages/CCTV383.jpg,1/4 Cent
